Processor Speed,Processor Cores,RAM Gbs,Storage Gbs,Display Inches,GPU Model,USB Ports,Operating System,Weight,url,Battery mAh
2.0 GHz,4,8,256,14,Intel HD Graphics,2,,1.48,https://www.pccomponentes.com/hp-elitebook-840-g4-intel-core-i5-7300u-16gb-256gb-ssd-14,
3.8 GHz,4,16 GB,512,15.6,NVidia RTX 4080 Ti,2,Windows,,https://www.pccomponentes.com/hp-elitebook-840-g5-intel-core-i5-8250u-8gb-256gb-ssd-14,5000
,0,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-840-g7-intel-core-i5-10210u-8gb-512gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-840-g7-intel-core-i5-10310u-8gb-256gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/hp-elitebook-x360-1040-g7-intel-core-i7-10710u-16gb-256gb-ssd-14-tactil,
2.7 GHz,8,16,512,15.6,NVidia GeForce GTX 1650,1,,,https://www.pccomponentes.com/hp-envy-16-h1003ns-intel-evo-core-i7-13700h-16gb-1tb-ssd-rtx-4060-16,
4.3 GHz,12,16 GB,512 GB,14 inches,Integrated Intel ARC,5,Windows 11 Home,1.39 kg,https://www.pccomponentes.com/hp-envy-x360-14-fc0002ns-intel-core-ultra-5-125u-16gb-512gb-ssd-14-tactil,
5.1 GHz,8,16 GB,1 TB,16 inches,Integrated AMD Radeon Graphics,6,Windows 11 Home,1.91 kg,https://www.pccomponentes.com/hp-envy-x360-16-ad0002ns-amd-ryzen-7-8840hs-16gb-1tb-ssd-16-tactil,
,,,,,,,,,https://www.pccomponentes.com/hp-essential-255-g8-amd-3020e-8gb-256gb-ssd-156,
4 GHz,6,8GB,512 GB,15.6,AMD Radeon Graphics,3,Windows 10 Home 64 bits,1.74 kg,https://www.pccomponentes.com/hp-essential-255-g8-amd-ryzen-5-5500u-8gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/hp-omen-15-en1004ns-amd-ryzen-7-5800h-16gb-1tb-ssd-rtx-3070-156,
Base speed,Total number of cores,16,83,14,NVidia GeForce RTX serie 30,4,FreeDOS (SIN SISTEMA OPERATIVO),2.31,https://www.pccomponentes.com/hp-omen-16-c0045ns-amd-ryzen-9-5900hx-16gb-1tb-ssd-rtx-3070-161,
,,,,,,,,,https://www.pccomponentes.com/hp-omen-16-b0047ns-intel-core-i7-11800h-32gb-1tb-ssd-rtx-3070-161,
,,,,,,,,,https://www.pccomponentes.com/hp-omen-16-b1016ns-intel-core-i7-12700h-16gb-1tb-ssd-rtx-3060-161,
,0,,,,,,,,https://www.pccomponentes.com/hp-omen-16-b1022ns-intel-core-i7-12700h-32gb-1tb-ssd-rtx-3060-161,
,6,83,,14.1,Nvidia GeForce RTX 3080 Ti,5,Windows 11 Home 64 Bits,2.3 kg,https://www.pccomponentes.com/hp-omen-16-n0009ns-amd-ryzen-7-6800h-16gb-1tb-ssd-rtx-3060-161,
up to 5.0 GHz,16,64,1000,15.6,NVidia GeForce RTX 4080 Ti,3,,2.35,https://www.pccomponentes.com/hp-omen-16-wd0008ns-intel-core-i7-13620h-32gb-1tb-ssd-rtx-4060-161,
Base speed,8,16,512,15.6,NVIDIA GeForce RTX 4080 Ti,3,,,https://www.pccomponentes.com/hp-omen-16-wd0011ns-intel-core-i7-13620h-32gb-1tb-ssd-rtx-4060-161,
base speed,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,4,,2,https://www.pccomponentes.com/hp-omen-16-wf0009ns-intel-core-i7-13700hx-32gb-1tb-ssd-rtx-4070-161,
1.5 GHz,8,16 GB,512 GB,15.6 in,NVidia RTX 4080 Ti,3,,2.39 kg,https://www.pccomponentes.com/hp-omen-16-wf1001ns-intel-core-i7-14700hx-32gb-1tb-ssd-rtx-4070-161,
5.5 GHz,20,32,1,16.1,NVIDIA GeForce RTX 4060,6,Windows 11 Home,2.39,https://www.pccomponentes.com/portatil-hp-omen-16-wf1022ns-intel-core-i9-14900hx-32gb-1tb-ssd-rtx-4060-161,
5.5 GHz,20,32,1,16.1,NVidia GeForce RTX 4070,5,FreeDos,2.39,https://www.pccomponentes.com/portatil-hp-omen-16-wf1025ns-intel-core-i9-14900hx-32gb-1tb-ssd-rtx-4070-161,
5.5 GHz,20,32 GB,1 TB,16.1,NVidia GeForce RTX 4070,5,Windows 11 Home,2.39 kg,https://www.pccomponentes.com/portatil-hp-omen-16-wf1026ns-intel-core-i7-14700hx-32gb-1tb-ssd-rtx-4070-161,
5.5 GHz,20,32,1,16.1,NVIDIA GeForce RTX 4070,5,FreeDos,2.39,https://www.pccomponentes.com/portatil-hp-omen-16-wf1027ns-intel-core-i7-14700hx-32gb-1tb-ssd-rtx-4070-161,
2.8 GHz,4,16,512,15.6,Nvidia GeForce GTX 1660 Ti,3,,,https://www.pccomponentes.com/hp-omen-17-ck1004ns-intel-core-i7-12700h-16gb-1tb-ssd-rtx-3070ti-173,
base speed,16,64,1000,15.6,NVIDIA GeForce RTX 4080 Ti,3,Windows 11 Home,2.78,https://www.pccomponentes.com/hp-omen-17-ck2004ns-intel-core-i7-13700hx-32gb-2tb-ssd-rtx-4090-173,
,,,,,,,,,https://www.pccomponentes.com/hp-omen-17-cm2006ns-intel-core-i7-13700hx-32gb-1tb-ssd-rtx-4070-173,
2.5,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,3,,,https://www.pccomponentes.com/portatil-hp-omen-17-db0002ns-amd-ryzen-7-8845hs-32gb-1tb-ssd-rtx-4070-173,
2.5,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,3,,,https://www.pccomponentes.com/portatil-hp-omen-17-db0007ns-amd-ryzen-9-8945hs-32gb-1tb-ssd-rtx-4060-173,
,8,16,512,,GeForce RTX 4080 Ti,4,Windows,,https://www.pccomponentes.com/portatil-hp-omen-17-db0008ns-amd-ryzen-7-8845hs-32gb-1tb-ssd-rtx-4060-173,
,,,,,,,Windows,61,https://www.pccomponentes.com/portatil-hp-omen-max-16-ah0001ns-intel-core-ultra-9-275hx-32gb-1tb-ssd-rtx-5070-ti-16-regalo-raton-y-alfombrilla,3600
5,8,16,256,15.6,NVidia GeForce RTX 3060,3,Windows 11 Home,1.63,https://www.pccomponentes.com/portatil-hp-omen-transcend-14-fb0003ns-intel-ultra-9-185h-32gb-1tb-ssd-rtx-4070-14-3-meses-pc-game-pass,
,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,3,,4,https://www.pccomponentes.com/hp-omen-transcend-14-fb0007ns-intel-core-ultra-9-185h-32gb-1tb-ssd-rtx-4060-14,
2.16 GHz,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,3,Windows 11 Home,2.16,https://www.pccomponentes.com/hp-omen-transcend-16-u0001ns-intel-core-i7-13700hx-32gb-1tb-ssd-rtx-4070-16,
,,64,256,15.65,NVidia RTX,4,Windows 11 Home 64 Bits,2.17,https://www.pccomponentes.com/portatil-hp-omen-transcend-16-u0002ns-intel-core-i7-13700hx-32gb-1tb-ssd-rtx4070-161-hyperx-cloud-ii-core,
None,8,64,None,35.65,NVidia GeForce RTX 40 Series,2,FreeDOS 3.0,2.16,https://www.pccomponentes.com/hp-omen-transcend-16-u0005ns-intel-core-i7-13700hx-32gb-1tb-ssd-rtx-4070-16,None
,8,16,256,13.3,Intel Iris Xe Graphics,2,Windows 11 Home,1.34,https://www.pccomponentes.com/portatil-hp-omnibook-ultra-flip-laptop-14-fh0006ns-intel-core-ultra-7-258v-32gb-1tb-ssd-14-tactil,
4.8 GHz,8,32,1,14,Integrated Intel Arcu00AE,3,Windows 11 Home,1.34,https://www.pccomponentes.com/portatil-hp-omnibook-ultra-flip-oled-14-fh0001ns-intel-evo-core-ultra-7-258v-32gb-1tb-ssd-14-tactil,
up to 3.4 GHz,12,16 GB,1 TB,14 inches,Integrated Qualcomm Adreno,3,Windows 11 Home,1.34 kg,https://www.pccomponentes.com/portatil-hp-omnibook-x-14-fe0008ns-qualcomm-snapdragon-x-elite-x1e-78-100-16gb-1tb-ssd-14-tactil,
3.4 GHz,12,32,1,14,Integrada Qualcomm Adreno,3,Windows 11 Home,1.34,https://www.pccomponentes.com/portatil-hp-omnibook-x-14-fe0009ns-qualcomm-snapdragon-x-elite-x1e-78-100-32gb-1tb-ssd-14-tactil,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-omnibook-x14-fe0002np-qualcomm-snapdragon-x1e-78-100-32gb-1tb-ssd-14-tactil-pt,
,8,16,512,14,AMD Radeon,2,Windows 10 Home,1.74,https://www.pccomponentes.com/hp-pavilion-15-eg2005ns-intel-core-i7-1255u-16gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-pavilion-15-eg3015ns-intel-core-i5-1335u-16gb-512-gb-ssd-156,
5 GHz,10,16 GB,1 TB,15.6 inches,Intel Iris Xe,4,Windows 11 Home 64 Bits,1.74 kg,https://www.pccomponentes.com/hp-pavilion-15-eg3024ns-intel-core-i7-1355u-16gb-1tb-ssd-156,
up to 4.8 GHz,12,16 GB,1 TB,16,Gráficos Intel,5,Windows 11 Home,1.8 kg,https://www.pccomponentes.com/portatil-hp-pavilion-16-af0008ns-intel-core-ultra-7-155u-16gb-1tb-ssd-16,
up to 4.8 GHz,12,16,512,16,Integrated Intel ARC,5,Windows 11 Home,1.8,https://www.pccomponentes.com/hp-pavilion-16-af0009ns-intel-core-ultra-7-155u-16gb-512gb-ssd-16,
,,,,,,,,,https://www.pccomponentes.com/hp-pavilion-laptop-14-ce3008ns-intel-core-i5-1035g1-8gb-512gb-ssd-mx130-14,
5.0 GHz,14,16,1,14,Intel Iris X,4,Windows 11 Home 64 bits,1.4 kg,https://www.pccomponentes.com/hp-pavilion-plus-14-eh1005ns-intel-core-i7-13700h-16gb-1tb-ssd-14,
4.6 GHz,12,16 GB,512 GB,14 inches,Intel UHD,3,Windows 11 Home 64 bits,1.4 kg,https://www.pccomponentes.com/hp-pavilion-plus-14-eh1023ns-intel-evo-core-i5-1340p-16gb-512gb-ssd-14,
4.5 GHz,8,64,1000,17.3,NVidia RTX 3080 Ti,4,Windows 10,,https://www.pccomponentes.com/portatil-hp-pavilion-plus-14-ew0005ns-intel-core-i7-1355u-16gb-1tb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/hp-pavilion-plus-14-ew1004ns-intel-core-ultra-5-125h-16gb-512gb-ssd-14,
4.5?GHz,14,16 GB,1TB,14,Integrated Intel ARC,3,,1.44 kg,https://www.pccomponentes.com/hp-pavilion-plus-14-ew1017ns-intel-core-ultra-5-125h-16gb-1tb-ssd-14,
Base speed instead of boost,16,16,512,15.6,GeForce RTX™ Series 30,5,Windows 11 Home,1.89,https://www.pccomponentes.com/hp-pavilion-plus-16-ab0003ns-intel-core-i7-13700h-16gb-1tb-ssd-rtx-3050-16,
4.8GHz,16,32GB,1TB,16,Nvidia GeForce RTX 4080 Ti,,Windows,,https://www.pccomponentes.com/hp-pavilion-plus-16-ab1006ns-intel-core-ultra-7-155h-32gb-1tb-ssd-rtx-4050-16,
4.6,10,8,512,14,Intel Iris Xe,4,Windows 11 Home,1.51,https://www.pccomponentes.com/hp-pavilion-x360-14-ek1020ns-intel-core-i5-1335u-8gb-512gb-ssd-14-tactil,
,,,,,,,,,https://www.pccomponentes.com/hp-pro-x360-435-g10-amd-ryzen-3-7330u-8gb-256gb-ssd-133-tatil-pt,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-pro-x360-435-g10-amd-ryzen-5-7530u-8gb-256gb-ssd-133-tactil-teclado-frances,
4.7 GHz,4,16 GB,512 GB,13.3,Intel Iris Xe,4,Windows 10 Pro 64 bits,1.28 kg,https://www.pccomponentes.com/hp-probook-430-g8-intel-core-i7-1165g7-16gb-512gb-ssd-133,
5 GHz,10,16,512,14,Intel UHD Graphics,4,Windows 11 Pro,1.38 kg,https://www.pccomponentes.com/hp-probook-440-g10-intel-core-i7-1355u-16gb-512gb-ssd-14,
,0,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-440-g10-intel-core-i5-1335u-16gb-512gb-ssd-156-de,
,,,,,,,,,https://www.pccomponentes.com/hp-probook-440-g10-intel-core-i5-1335u-8gb-512gb-ssd-14-pt,
1.9 GHz,4,8,256,14,Intel Graphics,6,Windows 11 Pro,1.39,https://www.pccomponentes.com/portatil-hp-probook-440-g11-intel-core-ultra-5-125u-16gb-512gb-ssd-14,
,,,,,,,e,,https://www.pccomponentes.com/portatil-hp-probook-440-g11-intel-core-ultra-5-125u-16gb-512gb-ssd-14-de,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-440-g11-intel-core-ultra-5-125u-16gb-512gb-ssd-14-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-440-g11-intel-core-ultra-5-125u-8gb-256gb-ssd-14-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-440-g11-intel-core-ultra-7-155u-16gb-512gb-ssd-14-teclado-frances,
"4,2 GHz",4,16,512,14,Intel Iris Xe,4,Windows 10 Pro,1.38,https://www.pccomponentes.com/hp-probook-440-g8-intel-core-i5-1135g7-16gb-512gb-ssd-14,
2.5 GHz,8,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/hp-probook-440-g9-intel-core-i5-1235u-16gb-512gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-440-g9-intel-core-i5-1235u-16gb-512gb-ssd-14-de,
e,,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-445-g11-amd-ryzen-5-7535u-16gb-512gb-ssd-14-de,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-445-g11-amd-ryzen-5-7535u-16gb-512gb-ssd-14-teclado-frances,
,,,,,,0,,,https://www.pccomponentes.com/portatil-hp-probook-445-g11-amd-ryzen-5-7535u-8gb-256gb-ssd-14-teclado-frances,
None,None,None,None,None,None,None,None,None,https://www.pccomponentes.com/hp-probook-450-g10-intel-core-i5-1335u-16gb-512gb-ssd-156,None
5.00GHz,10,16,512,15.6,Intel UHD Graphics,4,Windows 11 Pro,1.79,https://www.pccomponentes.com/hp-probook-450-g10-intel-core-i7-1355u-16gb-512gb-ssd-156,
4.2 GHz,4,16 GB,512 GB,15.6,Intel Iris Xe Graphics,5,Windows 10 Pro,1.74 kg,https://www.pccomponentes.com/hp-probook-450-g8-intel-core-i5-1135g7-16gb-512gb-ssd-156,
2.8 GHz,10,32,512,15.6,NVidia RTX 3080 Ti,3,,,https://www.pccomponentes.com/hp-probook-450-g8-intel-core-i5-1135g7-8-gb-256gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/hp-probook-450-g8-intel-core-i5-1135g7-8gb-256gb-ssd-156,
,8,16,512,14,,2,Windows 11 Pro,1.79,https://www.pccomponentes.com/hp-probook-450-gen10-intel-core-i7-1355u-16gb-512gb-ssd-156,42
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-460-g11-intel-core-ultra-5-125u-16gb-512-gb-ssd-16-teclado-frances,
3.0 GHz,8,16.0,512.0,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/portatil-hp-probook-460-g11-intel-core-ultra-5-125u-8gb-256-gb-ssd-16-teclado-frances,90000
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-460-g11-intel-core-ultra-7-155h-32gb-1tb-ssd-rtx-2050-16,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-460-g11-intel-core-ultra-7-155u-16gb-512-gb-ssd-16-teclado-frances,
e,,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-640-g11-intel-core-ultra-7-155u-16gb-512gb-ssd-14-de,
,,,,,,,,,https://www.pccomponentes.com/hp-probook-640-g2-intel-core-i5-6200u-8gb-256gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-640-g5-intel-core-i5-8265u-8gb-256gb-ssd-14,
up to 4.2 GHz,4,8 GB,256 GB,14 inches,Intel Iris Xe,3,Windows 10 Pro 64 bits,1.38 kg,https://www.pccomponentes.com/hp-probook-640-g8-intel-core-i5-1135g7-8gb-256gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/hp-probook-650-g8-intel-core-i5-1135g7-16gb-512gb-ssd-156,
4.2 GHz,4,8,256,15.6,Intel Iris Xe,5,Windows 10 Pro 64 bits,1.74,https://www.pccomponentes.com/hp-probook-650-g8-intel-core-i5-1135g7-8gb-256gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-450-g10-intel-core-i5-1335u-16gb-512gb-ssd-156-de,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-probook-465-g11-amd-ryzen-7535u-16gb-512gb-ssd-16-de,
,,,,,,,,,https://www.pccomponentes.com/hp-spectre-x360-14-eu0003np-intel-evo-edition-intel-core-ultra-7-155h-16gb-1tb-ssd-14-tactil-pt,u003e
,,,,,,,,,https://www.pccomponentes.com/hp-spectre-x360-14-eu0003ns-intel-core-ultra-7-155h-16gb-1tb-ssd-14-tactil,
2.5 GHz,,16,512,15.6,NVidia GeForce GTX 1650 Ti,4,FreeDOS,2.29,https://www.pccomponentes.com/portatil-hp-victus-15-fa0048ns-intel-core-i7-12650h-16gb-512gb-ssd-rtx-3050-156,
up to 5.00 GHz,12,64GB,1TB,15.6,,4,,,https://www.pccomponentes.com/hp-victus-15-fa0052ns-intel-core-i5-12450h-16gb-512gb-ssd-rtx-3050-156,
base speed of processor,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,3,Windows 11 Home,2.29,https://www.pccomponentes.com/portatil-hp-victus-15-fa1011ns-intel-core-i7-13700h-16gb-1tb-ssd-rtx4060-156-regalo-3-meses-pc-game-pass,
Base speed,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,3,,2.29,https://www.pccomponentes.com/hp-victus-15-fa1012ns-intel-core-i7-13700h-16gb-1tb-ssd-rtx-4060-156,
,12,64,,,NVidia RTX,,,,https://www.pccomponentes.com/portatil-hp-victus-15-fa1026ns-intel-core-i5-12450h-16gb-512gb-ssd-rtx-2050-156,
2.5 GHz,8,16,512,15.6,NVidia RTX 3080 Ti,3,,,https://www.pccomponentes.com/hp-victus-15-fa1032np-intel-core-i5-12500h-16gb-512gb-ssd-rtx-4060-156-pt,5000
4.2 GHz,6,8,512,15.6,NVIDIA GeForce GTX 1650,3,FreeDOS (Sin Sistema Operativo),2.29 kg,https://www.pccomponentes.com/hp-victus-15-fb0006ns-amd-ryzen-5-5600h-8gb-512gb-ssd-gtx-1650-156,
4.2 GHz,6,8,512,15.6,NVIDIA GeForce GTX 1650,3,,2.29,https://www.pccomponentes.com/hp-victus-15-fb0009ns-amd-ryzen-5-5600h-8gb-512gb-ssd-gtx-1650-156,
,,,,,NVidia GeForce RTX,0,Windows,,https://www.pccomponentes.com/portatil-hp-victus-16-r0027ns-intel-core-i7-13700h-16gb-1tb-ssd-rtx-4060-161,
,,,,15.6,NVidia GeForce RTX 4080 Ti,3,Windows,,https://www.pccomponentes.com/portatil-hp-victus-16-r1037ns-intel-core-i7-14650hx-32gb-1tb-ssd-rtx-4060-161,
up to 12th Gen Intel Core,2,16,512,,NVidia RTX,3,,,https://www.pccomponentes.com/hp-victus-16-d1021ns-intel-core-i7-12700h-16gb-512gb-ssd-rtx-3050ti-161,
,16,64,None,15,NVidia GeForce RTX 3080 Ti,4,,3.2,https://www.pccomponentes.com/hp-victus-16-d1033ns-intel-core-i7-12700h-16gb-512gb-ssd-rtx-3060-161,
,12,64,512,15.6,NVidia RTX,2,,3.5,https://www.pccomponentes.com/hp-victus-16-d1040ns-intel-core-i7-12700h-32gb-512gb-ssd-rtx-3060-161,
base speed,8,16,512,15.6,Nvidia GeForce RTX 30,4,FreeDOS,2.46,https://www.pccomponentes.com/hp-victus-16-e0101ns-amd-ryzen-7-5800h-16gb-512gb-ssd-rtx-3060-161,
,,,,,,,,,https://www.pccomponentes.com/hp-victus-16-e1007ns-amd-ryzen-7-6800h-16gb-512gb-ssd-rtx-3050-161,
2.8GHz,4,16,512,15.6,NVidia GeForce RTX 3070 Ti,3,,,https://www.pccomponentes.com/hp-victus-16-e1022ns-amd-ryzen-7-6800h-16gb-1tb-ssd-rtx-3050-161,
2.5 GHz,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,3,,,https://www.pccomponentes.com/hp-victus-16-r0016ns-intel-core-i7-13700h-16gb-1tb-ssd-rtx-4060-161,
2.29 GHz,8,16,1000,15.6,NVIDIA GeForce RTX 4080 Ti,3,,2.33,https://www.pccomponentes.com/hp-victus-16-r0019ns-intel-core-i7-13700h-32gb-1tb-ssd-rtx-4060-161,52000
,16,32,1000,,NVidia GeForce RTX,3,,2.33,https://www.pccomponentes.com/hp-victus-16-r1000ns-intel-core-i7-14650hx-16gb-1tb-ssd-rtx-4060-161,
,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,2,,,https://www.pccomponentes.com/hp-victus-16-s0005ns-amd-ryzen-7-7840hs-16gb-512gb-ssd-rtx-4050-161,
,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,4,FreeDOS,2.3,https://www.pccomponentes.com/hp-victus-16-s0009ns-amd-ryzen-7-7840hs-16gb-512gb-ssd-rtx-4050-161,
,0,,,,,,,,https://www.pccomponentes.com/portatil-hp-victus-gaming-15-fa0046ns-intel-core-i7-12650h-16gb-512gb-ssd-rtx-3050-156,
Base speed (no boost),8,16,512,15.6,NVidia GeForce RTX,3,,,https://www.pccomponentes.com/portatil-hp-victus-gaming-16-r1024ns-intel-core-i7-14650hx-16gb-1tb-ssd-rtx-4060-161,
,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,3,,4.5,https://www.pccomponentes.com/portatil-hp-victus-gaming-16-r1028ns-intel-core-i7-14650hx-32gb-1tb-ssd-rtx-4070-161,
,,,,14.0,NVidia GeForce RTX 4080 Ti,2,Windows,,https://www.pccomponentes.com/portatil-hp-victus-gaming-16-r1047ns-intel-core-i7-14650hx-32gb-1tb-ssd-rtx-4060-161,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-zbook-15-g6-intel-core-i7-9850h-16gb-512gb-ssd-quadro-t1000-156,
5.1GHz,8,16GB,512GB,14,Integrated AMD Radeon 780M,4,Windows 11 Pro,1.41kg,https://www.pccomponentes.com/portatil-hp-zbook-firefly-14-g11-amd-ryzen-7-8840hs-16gb-512gb-ssd-14,
4.8 GHz,16,16,512,14,NVIDIA RTX A500,6,Windows 11 Pro,1.41,https://www.pccomponentes.com/portatil-hp-zbook-firefly-14-g11-intel-core-ultra-7-155h-16-gb-512gb-ssd-rtx-a500-14,
4.8 GHz,16,16GB,512GB,14,Intel Arc,6,Windows 11 Pro,1.41 kg,https://www.pccomponentes.com/portatil-hp-zbook-firefly-14-g11-intel-core-ultra-7-155h-16gb-512gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-zbook-firefly-14-g7-intel-core-i5-10210u-8gb-256gb-14,
,,,,,,,,,https://www.pccomponentes.com/hp-zbook-firefly-14-g8-intel-core-i7-1165g7-16gb-512gb-ssd-14,
5.1 Hz,8,16,512,14,AMD Radeon 780M,4,Windows 11 Pro,1.4,https://www.pccomponentes.com/hp-zbook-firefly-14-g10-amd-ryzen-7-pro-7840hs-16gb-512gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/hp-zbook-firefly-14-g9-intel-core-i7-1260p-16gb-512gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-zbook-firefly-16-g10-intel-core-i7-1355u-16gb-1tb-ssd-rtx-a500-16-teclado-aleman,
,,,,,,,,,https://www.pccomponentes.com/hp-zbook-firefly-16-g10-intel-core-i7-1360p-32gb-1tb-ssd-16,
,0,,,,,,,,https://www.pccomponentes.com/portatil-hp-zbook-firefly-16-g11-intel-core-ultra-7-155h-32gb-1tb-ssd-rtx-a500-16,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-zbook-firefly-16-g11-intel-core-ultra-7-155h-16gb-512gb-ssd-rtx-a500-16,
,,,,,,,,,https://www.pccomponentes.com/hp-zbook-firefly-g10-intel-core-i7-1365u-16gb-512gb-ssd-rtx-a500-14,
,,,,,,,,,https://www.pccomponentes.com/hp-zbook-fury-15-g7-intel-core-i7-10750h-16gb-512gb-ssd-quadro-rtx-3000-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-zbook-fury-15-g7-intel-core-i7-10850h-16gb-512gb-ssd-quadro-t2000-156,
,,,,,,,,,https://www.pccomponentes.com/hp-zbook-fury-16-g10-intel-core-i7-13700hx-32gb-1tb-ssd-rtx-3500-16,
4.00 GHz,24,32,1000,16,Nvidia RTX 4000 Ada Generation,3,Windows 11 Pro,2.4,https://www.pccomponentes.com/hp-zbook-fury-16-g10-intel-core-i9-13950hx-32gb-1tb-ssd-rtx-4000-ada-16,
3.20 GHz,6,16,512,15.6,NVidia RTX 3080 Ti,3,Windows 10 Home,2.32,https://www.pccomponentes.com/portatil-hp-zbook-fury-16-g10-intel-core-i9-13950hx-32gb-1tb-ssd-rtx-a2000-16-teclado-aleman,84
5.8 GHz,24,32,1TB,16,NVIDIA RTX 4000 Ada Generation,4,Windows 11 Pro,2.4 kg,https://www.pccomponentes.com/portatil-hp-zbook-fury-16-g11-intel-core-i9-14900hx-32gb-1tb-ssd-quadro-rtx-4000-16,
5.8 GHz,24,64,1,16,NVIDIA RTX™ 5000 Ada Generation,7,Windows 11 Pro,2.4,https://www.pccomponentes.com/portatil-hp-zbook-fury-16-g11-intel-core-i9-14900hx-64gb-1tb-ssd-quadro-rtx-5000-16,
,0,,,,,0,,,https://www.pccomponentes.com/hp-zbook-fury-17-g7-intel-core-i7-10750h-16gb-512gb-ssd-quadro-rtx-3000-173,
,,16,512,15.6,AMD Radeon 780M,4,Windows 11 Pro,,https://www.pccomponentes.com/portatil-hp-zbook-power-16-g11-a-amd-ryzen-7-8840hs-16gb-512gb-ssd-rtx-a1000-16,83
2.8 GHz,8,16,512,14,AMD Radeon 780M,4,Windows 11 Pro,2.04,https://www.pccomponentes.com/portatil-hp-zbook-power-16-g11-a-amd-ryzen-9-8945hs-32gb-1tb-ssd-rtx-2000-ada-16,
4.8,12,16,512,16,NVIDIA RTX A500,6,Windows 11 Pro,2.12,https://www.pccomponentes.com/portatil-hp-zbook-power-16-g11-intel-core-ultra-7-155u-16gb-512gb-ssd-rtx-a500-16,
up to 4.8 GHz,12,32 GB,1 TB,16 inches,NVIDIA RTX 1000 Ada Generation,3 + 2 (Thunderbolt),Windows 11 Pro,2.12 kg,https://www.pccomponentes.com/portatil-hp-zbook-power-16-g11-intel-core-ultra-7-155u-32gb-1tb-ssd-rtx-a1000-16-tactil,
4.8 GHz,12,32 GB,1 TB,16,NVIDIA RTX 2000 Ada Generation,4,Windows 11 Pro,2.12 kg,https://www.pccomponentes.com/portatil-hp-zbook-power-16-g11-intel-core-ultra-7-155u-32gb-1tb-ssd-rtx-a2000-16-tactil,
Base speed (2.9 GHz),8,16,512,14,NVidia GeForce RTX 4060,2,Windows 11 Pro,2,https://www.pccomponentes.com/portatil-hp-zbook-power-g10-intel-core-i7-13700h-16gb-512gb-ssd-rtx-2000-156,
,0,,,,,,,,https://www.pccomponentes.com/hp-zbook-power-g10-intel-core-i7-13700h-16gb-512gb-ssd-rtx-a2000-156,
,,,,,,,,,https://www.pccomponentes.com/hp-zbook-power-g10-intel-core-i9-13900h-32gb-1tb-ssd-rtx-3000-156,
,4,,,,NVidia RTX 4080 Ti,,Windows,1.6 kg,https://www.pccomponentes.com/portatil-hp-zbook-power-g11-amd-ryzen-9-8945hs-32gb-1tb-ssd-rtx-2000-ada-16-tactil,
